commands, generate, build_content, print_prep, print
10000, 0.0026, 0.0003, 0.0001, 0.0000
20000, 0.0033, 0.0018, 0.0002, 0.0000
30000, 0.0045, 0.0044, 0.0002, 0.0000
40000, 0.0060, 0.0069, 0.0003, 0.0000
50000, 0.0105, 0.0106, 0.0011, 0.0000
60000, 0.0096, 0.0202, 0.0010, 0.0000
70000, 0.0158, 0.0279, 0.0014, 0.0000
80000, 0.0129, 0.0377, 0.0011, 0.0000
90000, 0.0202, 0.0578, 0.0015, 0.0000
100000, 0.0169, 0.0861, 0.0018, 0.0000
commands, generate, build_content, print_prep, print
10000, 0.0023, 0.0005, 0.0001, 0.0001
20000, 0.0032, 0.0023, 0.0002, 0.0001
30000, 0.0073, 0.0048, 0.0002, 0.0003
40000, 0.0071, 0.0122, 0.0003, 0.0009
50000, 0.0126, 0.0093, 0.0004, 0.0002
60000, 0.0136, 0.0160, 0.0005, 0.0003
70000, 0.0154, 0.0210, 0.0016, 0.0003
80000, 0.0128, 0.0318, 0.0013, 0.0008
90000, 0.0202, 0.0424, 0.0015, 0.0004
100000, 0.0170, 0.0668, 0.0016, 0.0004
commands, generate, build_content, print_prep, print
100000, 0.0188, 0.0575, 0.0014, 0.0023
200000, 0.0384, 0.3463, 0.0025, 0.0039
300000, 0.0621, 1.0077, 0.0052, 0.0061
400000, 0.0762, 2.0050, 0.0043, 0.0087
500000, 0.1367, 3.9191, 0.0103, 0.0111
600000, 0.1901, 6.5380, 0.0136, 0.0155
700000, 0.1756, 9.8982, 0.0139, 0.0158
800000, 0.1802, 12.4890, 0.0118, 0.0183
900000, 0.2995, 17.8876, 0.0118, 0.0191
1000000, 0.2843, 23.0963, 0.0192, 0.0229
commands, generate, build_content, print_prep, print
100000, 0.0187, 0.0102, 0.0011, 0.0000
200000, 0.0424, 0.0172, 0.0024, 0.0000
300000, 0.0667, 0.0243, 0.0035, 0.0000
400000, 0.0850, 0.0360, 0.0053, 0.0000
500000, 0.1482, 0.0387, 0.0057, 0.0000
600000, 0.1638, 0.0486, 0.0066, 0.0000
700000, 0.1910, 0.0647, 0.0088, 0.0000
800000, 0.1793, 0.1410, 0.0098, 0.0000
900000, 0.1834, 0.1531, 0.0113, 0.0000
1000000, 0.2088, 0.1782, 0.0129, 0.0000
